Images,Spell Name,Page,Source,Foundry Tag,,Tag ABRV,Theme,Class,New Class,Level,School,School ABRV,Description,Notes,Clarification,Table,Flavor,Quotes,Damage,Damage Type,Condition,Saving Throw,Success,Fail,Skill Check,Ability Check,DC,Ritual,Techno Magic,Casting Time,Casting Unit,Casting Type,Trigger,Duration,Duration Type,Duration Amount,Duration Unit,Up To,Concentration,Range,Range Type,Range Unit,Range Distance,Area,Area Type,Area ABRV,Area Unit,Area Distance,Components,Components ABVR,Component Description (Material),Component Description (Somatic),Component Description (Verbal),Terrain,Terrain Effect,Consecrated / Desecrated,Cost,Blood Pact,Blood Pact Effect,Arcane Strain,References SRD,Image Url,DDB,WA,DDB Sync Status,DDB Sync Error,DDB Last Synced,DDB Publish Status
,Fabricated Memory,0,ORIO,"Requires Sight, Affects Objects, Grants Advantage","Requires Sight, Affects Objects, Grants Advantage",SGT,,"Bard, Wizard","Celebrity, Anomalous",0-Cantrip,Divination,D,"You momentarily disturb a creature’s short-term recall, introducing a harmless inconsistency in its immediate perception of events.

Choose one creature within range that you can see. The target must succeed on an Intelligence saving throw or briefly misremember a purely trivial detail that occurred within the last round.

Examples of trivial details include:

• Where it placed a small object
• Whether it spoke a minor phrase
• The exact position of an item in hand
• A negligible sensory impression

The false memory lasts only until the start of the target’s next turn, at which point the mind corrects itself. The effect cannot alter decisions, beliefs, loyalties, or awareness of danger.

A creature engaged in combat has advantage on the saving throw.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,5 feet,Point,5,Feet,,,,,,"Somatic, Verbal","V, S",,"With a subtle nod,",As if recalling,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fabricated%20memory.png,3137310,,✅,,2026-02-15 17:59:58,
,Fascination,0,ORIO,Modifies AC,Modifies AC,MAC,,"Bard, Warlock","Hacker, Celebrity",0-Cantrip,Illusion,I,"A subdermal neurological impulse is implanted in the target’s cognitive prioritization center, making them incapable of focusing on anything but the caster.

The target must make a Wisdom saving throw. On a failed save:

- The affected target follows the caster wherever they go, unable to take their eyes off them.
- If attacked, the target enters a berserk fury, attacking anyone who obstructs their pursuit of the caster (+1 to hit,- 1 AC).
- The target may repeat the saving throw at the end of each of its turns, ending the effect on a success.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,12 feet,Point,12,Feet,,,,,,"Verbal, Somatic, Material","V, S, R","a small, ornate mirror",tapping the tip of your index finger to your forehead,the words 'Eyes on me' spoken in a hypnotic tone,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/fascination.png,3137313,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:00:13,
,Flawed Step,0,ORIO,"Requires Sight, Teleportation","Requires Sight, Teleportation",SGT,,"Sorcerer, Warlock",Architect,0-Cantrip,Divination,D,"You slip momentarily out of alignment with your immediate position, reappearing a heartbeat away as space misjudges your presence.

You teleport up to 5 feet to an unoccupied space you can see.

This movement:

• Is instantaneous
• Requires no movement
• Does not provoke opportunity attacks

You must be able to stand in the destination space.",,,,"As your foot leaves the ground, the world around you briefly flickers, as if a digital surface has been hacked. For an instant, the space around you glitches, and you are teleported to a new position, slipping through the cracks of reality itself. You reappear with an eerie, unnatural smoothness, like a bug in a program.",,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic, Terrain","V, S, T",,Flick your fingers as if tracing an invisible path,"Murmur 'Bend, bend, bend' under your breath",Flickering Digital Surface,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flawed%20step.png,3137341,,✅,,2026-02-15 18:00:42,
,Flickering Veil,0,ORIO,Grants Advantage,Grants Advantage,ADV,,"Bard, Wizard","Runner, Anomalous",0-Cantrip,Illusion,I,"You briefly destabilize your visual presence, causing your form to waver and shimmer like a heat-haze mirage.

Until the start of your next turn, the first attack roll made against you by a creature that relies on sight is made with disadvantage.

If you move before the spell ends, you leave behind a faint afterimage that lingers until the start of your next turn. The afterimage is purely visual and has no mechanical effect.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 minutes,,1,Minutes,FALSE,TRUE,Self,Point,,Self,,,,,,Somatic,S,,With a subtle nod of your head,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/flickering%20veil.png,3137327,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:01:17,
,Ghost Slap,0,ORIO,"Summons Creature, Grants Advantage","Summons Creature, Grants Advantage",SMN,,"Bard, Warlock",Celebrity,0-Cantrip,Necromancy,N,"You conjure a fleeting spectral impact that strikes a creature with an invisible, percussive force.

Choose one creature within range. The target must succeed on a Wisdom saving throw or become momentarily disoriented.

• On a failure, the creature has disadvantage on the next attack roll it makes before the end of its next turn.

• A creature affected by this spell is subtly destabilized. The next time it makes a saving throw against a Necromancy spell before the end of your next turn, it rolls the save with disadvantage.

• On a success, the creature resists the effect.

The force leaves no wound, only a sharp, humiliating jolt, like a reprimand delivered by unseen hands.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,"Verbal, Somatic","V, S",,Flick your thumb against your index finger,"Korvus, kha'zix",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/ghost%20slap.png,3137335,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:01:58,
,Glassheart,0,ORIO,,,,,Cleric,"Cultist, Anomalous",0-Cantrip,Abjuration,A,"Your form splinters like struck glass at the instant of catastrophic impact.

Reaction, which you take when a creature scores a critical hit against you.

The triggering attack becomes a normal hit instead.

You take 1d4 psychic damage, representing the violent mental strain of sustaining the fracture. This damage cannot be reduced in any way.

Once you use this spell, you cannot do so again until the start of your next turn.

For a brief moment, your body appears threaded with faint, luminous cracks before snapping back into solidity.",,,,,,1d4,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when an enemy rolls a critical hit against you,Instantaneous,Instant,,,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic","V, S",,"Make a swift, jagged motion with your hand.",Shatter!,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/glassheart.png,3137340,,❌,"Failed to create higher level: HTTP 302: Found | <html><head><title>Object moved</title></head><body>
<h2>Object moved to <a href=""/homebrew/creations/spells/3137340-glassheart/ed",2026-02-15 18:02:13,
,Grasp of the Unseen,0,ORIO,Affects Objects,Affects Objects,OBJ,,"Sorcerer, Warlock",Cultist,0-Cantrip,Conjuration,C,"You manifest a fleeting, invisible spectral hand that interferes with the physical world.

Choose a creature or unattended object within range.

• Creature: The target must succeed on a Strength saving throw or have its speed reduced by 10 feet until the start of its next turn.

• Object: You move the object up to 10 feet in a direction of your choice. The object must weigh no more than what you could lift with one hand.

The hand vanishes immediately after the effect.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,10 feet,Point,10,Feet,,,,,,Somatic,S,,With a subtle hand motion,,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/grasp%20of%20the%20unseen.png,3137345,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:02:39,
,Grounded Ward,0,ORIO,,,,,Druid,Architect,0-Cantrip,Abjuration,A,"You draw your stance into harmony with the world’s unseen foundations, rooting yourself within the Weft of matter and force.

Until the start of your next turn, the first time you would take thunder or force damage, reduce that damage by 1d8.

While the ward holds, your body feels unnaturally steady, as though invisible roots anchor you against the shock of hostile energies.

This spell ends early if you are forcibly moved or lifted from the ground.",,,,"The floor beneath you vibrates with a subtle hum as the air around you shimmers. With a swift motion, you tap into the insulating magic of the rubberized surface beneath, creating a protective barrier that shields you from incoming electric currents. The warmth of the shield pulses around you, and for the duration, any lightning strikes are absorbed by the magical field, leaving you unharmed.",,1d8,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,Self,Point,,Self,,,,,,"Verbal, Somatic, Terrain","V, S, T",,Tap your foot three times against the ground,Speak the words 'Terra firma mea',Rubberized Flooring,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/grounded%20ward.png,3137363,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:02:57,
,Gutterwake,0,ORIO,"Modifies AC, Grants Advantage","Modifies AC, Grants Advantage",MAC,,"Sorcerer, Warlock","Runner, Judge, Anomalous",0-Cantrip,Transmutation,T,"You stir the idle squalor of your surroundings, coaxing motion from filth, dust, and shallow refuse. Grime ripples, loose debris shifts, and stagnant water shivers in uneasy response.

Creatures in a 15-foot cone originating from you must succeed on a Dexterity saving throw or become momentarily unsettled by the sudden movement. Affected creatures have disadvantage on the next opportunity attack they make before the end of their next turn.

This effect represents distraction rather than restraint and does not otherwise hinder movement or actions.

If you cast this spell in an area containing visible debris, dust, liquid, or grime, you may forgo the disorienting effect and instead shape the disturbed material into a fleeting image, symbol, or pattern. The image occupies a space within the cone and remains for 1 minute before collapsing back into disorder.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,15 feet,Point,15,Feet,,,,,,"Somatic, Verbal","V, S",,With a flick of your wrist,As the streets awake,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/gutterwake.png,3137348,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:09,
,Hesitation Courtesy,0,ORIO,"Requires Sight, Modifies AC","Requires Sight, Modifies AC",SGT,,Cleric,Parascientist,0-Cantrip,Abjuration,A,"You lace a creature’s hostile intent with a moment of intrusive doubt, a fleeting disruption of certainty that arrives at the brink of action.

When a creature you can see within range makes an attack roll against you, you may use your reaction to impose hesitation. The creature must make a Wisdom saving throw.

On a failure, the creature subtracts 1d4 from the triggering attack roll.

This spell has no effect on creatures immune to being charmed.

Once a creature has been affected by this spell, it is immune to its effects until the start of your next turn.",,,,,,1d4,,,,,,,,,FALSE,FALSE,Reaction,1,Reaction,when a creature targets you with an attack,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic","V, S",,"Flicking fingers in a slow, deliberate arc","Sanctio, dubitatio, esto",,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/hesitation%20courtesy.png,3137353,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:37,
,Hollow Gaze,0,ORIO,"Requires Sight, Grants Advantage","Requires Sight, Grants Advantage",SGT,,"Sorcerer, Warlock",Scourge,0-Cantrip,Necromancy,N,"Your eyes empty into unsettling stillness, reflecting a depth that living minds instinctively recoil from.

Choose one creature you can see within range. The target must succeed on a Wisdom saving throw or be momentarily disturbed by the void-touched gaze.

On a failure:

• The creature has disadvantage on Wisdom (Perception) checks until the start of your next turn
• If the creature is concentrating on a spell, it has disadvantage on the next Constitution saving throw it makes to maintain Concentration before the start of your next turn

A creature that succeeds on the saving throw is unaffected.

Once a creature is affected by this spell, it is immune to its effects until the end of your next turn.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,1 rounds,,1,Rounds,FALSE,FALSE,15 feet,Point,15,Feet,,,,,,"Somatic, Verbal","V, S",,As you gaze into the void,Void's chill descends,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/hollow%20gaze.png,3137354,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:43,
,Hollow Stare,0,ORIO,"Requires Sight, Grants Advantage","Requires Sight, Grants Advantage",SGT,,Warlock,Scourge,0-Cantrip,Enchantment,E,"Your gaze fixes upon a creature with disquieting emptiness, your features seeming subtly wrong, as though perception itself resists holding your image.

Choose one creature you can see within range. The target must make a Charisma saving throw.

On a failure, the creature’s sense of self falters:

• It has disadvantage on Intelligence checks until the end of its next turn
• The first time it speaks before the end of its next turn, its words emerge strained and uncertain

If the creature fails the saving throw by 5 or more, its next spoken sentence is subtly distorted to all listeners except you. The words are audible, but their meaning is misinterpreted or partially lost, as determined by the DM.

A creature immune to being charmed is unaffected.

Once a creature is affected by this spell, it is immune to its effects until the end of your next turn.",,,,,,,,,,,,,,,FALSE,FALSE,Action,1,Action,,Instantaneous,Instant,,,FALSE,FALSE,30 feet,Point,30,Feet,,,,,,"Verbal, Somatic","V, S",,"A slow, unblinking gaze",Reality's forgotten,,,,,,,,,https://raw.githubusercontent.com/la-rockoteque/Vestigium/refs/heads/main/images/Spell/hollow%20stare.png,3137355,,❌,"Failed to create modifier: HTTP 200: OK | 

<!DOCTYPE html>
<!--[if lt IE 7 ]> <html lang=""en"" class=""no-js ie6""> <![endif]-->
<!--[if IE 7 ]>    <html lang=""en"" class=""no-js i",2026-02-15 18:03:51,
